round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
50,0.05277299347151186,0.052772995,0.36697322130203247,0.36697322,300,0,50,50,mse,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,nan,nan,nan,nan,100,0.2,50,128,mse,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
50,0.05451345002067458,0.054513447,0.26926925968616566,0.26926926,100,0.2,50,50,mse,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.17641973725913726,0.17641973,0.1219416931271553,0.12194169,300,0.2,30,50,mse,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,423.4827824753175,423.4828,910.3169551335328,910.31696,100,0.2,30,50,mse,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,50
50,0.06609145833557005,0.066091456,0.5749659846860466,0.574966,100,0.2,50,128,mse,6.04,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.05462274124327394,0.054622743,0.3817438781261444,0.38174388,300,0.2,50,50,mse,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
50,0.052589034911283514,0.052589037,0.36406704783439636,0.36406705,300,0,50,50,mse,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,0.1831752443590115,0.18317525,0.06867295503616333,0.068672955,300,0,30,128,mse,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
30,0.06540813204861179,0.06540813,0.4166126251220703,0.41661263,300,0.2,30,128,mse,5.05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
30,2757.0068839686023,2757.0068,6439.317057291667,6439.3174,100,0,30,50,mse,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,50
30,20.282745951229764,20.282747,42.056304931640625,42.056305,300,0,30,128,mse,7.03,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,128
50,56.26003425309748,56.260033,43.99375047074987,43.99375,100,0,50,128,mse,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,50
50,nan,nan,nan,nan,300,0,50,128,mse,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,128
30,0.0978538097871333,0.09785381,0.3392539918422699,0.339254,300,0.2,30,128,mse,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
